,chk_point,FID_64,FID_192,FID_768,FID_2048
0,0.0,39.10904020274728,189.49376519130644,2.6158526142799396,342.07508683979006
1,100.0,1.770995102304349,8.348000607243744,0.3030030745706276,58.94897415829382
2,200.0,1.661565344810798,8.027057006413486,0.2976587596676842,59.72149027631241
3,300.0,1.6575103866030956,7.830963394753159,0.2671250981474613,52.65965517168098
4,400.0,1.2800541460766368,6.1182886137082875,0.24287893056678134,48.56935917396896
5,500.0,1.2262076321309103,5.875927436981339,0.23715836510780686,49.351194150583524
6,600.0,1.597360670206363,7.4586286231777805,0.2626170757321844,52.94405484603129
7,700.0,1.3825757892140178,6.506346686478675,0.23630449997331104,46.26684904692411
8,800.0,1.1938478439675615,5.911193134223296,0.23122528615713733,46.79308153915554
9,900.0,0.6537037029586648,3.02601831367744,0.20167692074272536,44.33104056459922
10,1000.0,0.8736111242162456,4.2925604393304475,0.19801171478087864,41.203878755046276
